16:40:26.266 [main] DEBUG mlechka.array.validator.impl.ArrayValidatorImpl - String 7 -1 5 8 contains only numbers and whitespaces and will be processed to an array with numbers
16:40:26.267 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String a z 4 do not contain only numbers and whitespaces and will be ignored
16:40:26.268 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String 1 k 123 do not contain only numbers and whitespaces and will be ignored
16:40:26.268 [main] DEBUG mlechka.array.validator.impl.ArrayValidatorImpl - String 8 9 45 6 contains only numbers and whitespaces and will be processed to an array with numbers
16:40:26.268 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String . do not contain only numbers and whitespaces and will be ignored
16:40:26.270 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String - 1 do not contain only numbers and whitespaces and will be ignored
16:40:26.270 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String 1 - do not contain only numbers and whitespaces and will be ignored
16:40:26.270 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String - do not contain only numbers and whitespaces and will be ignored
16:40:26.271 [main] INFO  mlechka.array.validator.impl.ArrayValidatorImpl - String + do not contain only numbers and whitespaces and will be ignored
16:40:26.271 [main] DEBUG mlechka.array.validator.impl.ArrayValidatorImpl - String -1 1 contains only numbers and whitespaces and will be processed to an array with numbers
16:40:26.271 [main] DEBUG mlechka.array.validator.impl.ArrayValidatorImpl - String -1 -2 contains only numbers and whitespaces and will be processed to an array with numbers
16:40:26.380 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=163bcd8f-0f0b-442c-be22-9f106ed50d53, numbers=[1, 2, 3, 4, 5]}
16:40:26.381 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: 1
16:40:26.381 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 5
16:40:26.381 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=163bcd8f-0f0b-442c-be22-9f106ed50d53, numbers=[5, 2, 3, 4, 5]}
16:40:26.382 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 3.8
16:40:26.382 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 19
16:40:26.383 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=933de70c-4442-411c-b54c-e2dde21d72df, numbers=[7, -1, 5, 8]}
16:40:26.383 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: -1
16:40:26.383 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 8
16:40:26.383 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=933de70c-4442-411c-b54c-e2dde21d72df, numbers=[7, 8, 5, 8]}
16:40:26.384 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 7.0
16:40:26.384 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 28
16:40:26.384 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=1aa7f62f-9dfa-4031-b73a-70cb526ed09a, numbers=[8, 9, 45, 6]}
16:40:26.384 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: 6
16:40:26.385 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 45
16:40:26.385 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=1aa7f62f-9dfa-4031-b73a-70cb526ed09a, numbers=[8, 9, 45, 45]}
16:40:26.385 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 26.75
